Country;ProducedVehicles
Algeria;2773
Argentina;536893
Australia;6077
Austria;107500
Azerbaijan;2049
Belgium;276554
Brazil;2369769
Canada;1228735
China;27020615
Colombia;51455
Czech Republic;1224456
Finland;73044
France;1383173
Germany;3677820
Hungary;441729
India;5456857
Indonesia;1470146
Iran;1064215
Italy;796324
Japan;7835519
Kazakhstan;112540
Malaysia;702225
Mexico;3509072
Morocco;464864
Netherlands;101670
Pakistan;235454
Philippines;92223
Poland;483840
Portugal;322404
Romania;509465
Russia;608060
Slovakia;1000000
Slovenia;68130
South Africa;555889
South Korea;3757049
Spain;2219462
Sweden;238955
Taiwan;261263
Thailand;1883515
Turkey;1352648
Ukraine;1490
United Kingdom;876614
United States;10060339
Uzbekistan;333569
Vietnam;232410
