Country;ProducedVehicles
Slovakia;1000000
United States;10060339
Netherlands;101670
Iran;1064215
Austria;107500
Kazakhstan;112540
Czech Republic;1224456
Canada;1228735
Turkey;1352648
France;1383173
Indonesia;1470146
Ukraine;1490
Thailand;1883515
Azerbaijan;2049
Spain;2219462
Vietnam;232410
Pakistan;235454
Brazil;2369769
Sweden;238955
Taiwan;261263
China;27,020,615
Belgium;276554
Algeria;2773
Portugal;322404
Uzbekistan;333569
Mexico;3509072
Germany;3677820
South Korea;3757049
Hungary;441729
Morocco;464864
Poland;483840
Romania;509465
Colombia;51455
Argentina;536893
India;5456857
South Africa;555889
Australia;6077
Russia;608060
Slovenia;68130
Malaysia;702225
Finland;73044
Japan;7835519
Italy;796324
United Kingdom;876,614
Philippines;92223
