,Country,2022
0,Algeria,2773
1,Argentina,536893
2,Australia,6077
3,Austria,107500
4,Azerbaijan,2049
5,Bangladesh,
6,Belarus,
7,Belgium,276554
8,Brazil,2369769
9,Bulgaria,
10,Canada,1228735
11,Chile,
12,China,"27,020,615"
13,Colombia,51455
14,Czech Republic,1224456
15,Czechoslovakia,
16,East Germany,
17,Ecuador,
18,Egypt,
19,Finland,73044
20,France,1383173
21,Germany,3677820
22,Greece,
23,Hungary,441729
24,India,5456857
25,Indonesia,1470146
26,Iran,1064215
27,Ireland,
28,Italy,796324
29,Japan,7835519
30,Kazakhstan,112540
31,Kenya,
32,Malaysia,702225
33,Mexico,3509072
34,Morocco,464864
35,Myanmar,
36,Netherlands,101670
37,New Zealand,
38,Nigeria,
39,North Korea,
40,Note 2. Former countries,
41,Pakistan,235454
42,Peru,
43,Philippines,92223
44,Poland,483840
45,Portugal,322404
46,Romania,509465
47,Russia,608060
48,Serbia,
49,Slovakia,1000000
50,Slovenia,68130
51,South Africa,555889
52,South Korea,3757049
53,Soviet Union,
54,Spain,2219462
55,Sweden,238955
56,Taiwan,261263
57,Thailand,1883515
58,Tunisia,
59,Turkey,1352648
60,Ukraine,1490
61,United Kingdom,"876,614"
62,United States,10060339
63,Uruguay,
64,Uzbekistan,333569
65,Venezuela,
66,Vietnam,232410
67,Yugoslavia,
68,Zimbabwe,
