;Country;ProducedVehicles
60;Ukraine;1490
4;Azerbaijan;2049
0;Algeria;2773
2;Australia;6077
13;Colombia;51455
50;Slovenia;68130
19;Finland;73044
43;Philippines;92223
36;Netherlands;101670
3;Austria;107500
30;Kazakhstan;112540
66;Vietnam;232410
41;Pakistan;235454
55;Sweden;238955
56;Taiwan;261263
7;Belgium;276554
45;Portugal;322404
64;Uzbekistan;333569
23;Hungary;441729
34;Morocco;464864
44;Poland;483840
46;Romania;509465
1;Argentina;536893
51;South Africa;555889
47;Russia;608060
32;Malaysia;702225
28;Italy;796324
61;United Kingdom;876614
49;Slovakia;1000000
26;Iran;1064215
14;Czech Republic;1224456
10;Canada;1228735
59;Turkey;1352648
20;France;1383173
25;Indonesia;1470146
57;Thailand;1883515
54;Spain;2219462
8;Brazil;2369769
33;Mexico;3509072
21;Germany;3677820
52;South Korea;3757049
24;India;5456857
29;Japan;7835519
62;United States;10060339
12;China;27020615
