Country;ProducedVehicles
China;27020615
United States;10060339
Japan;7835519
India;5456857
South Korea;3757049
Germany;3677820
Mexico;3509072
Brazil;2369769
Spain;2219462
Thailand;1883515
Indonesia;1470146
France;1383173
Turkey;1352648
Canada;1228735
Czech Republic;1224456
Iran;1064215
Slovakia;1000000
United Kingdom;876614
Italy;796324
Malaysia;702225
Russia;608060
South Africa;555889
Argentina;536893
Romania;509465
Poland;483840
Morocco;464864
Hungary;441729
Uzbekistan;333569
Portugal;322404
Belgium;276554
Taiwan;261263
Sweden;238955
Pakistan;235454
Vietnam;232410
Kazakhstan;112540
Austria;107500
Netherlands;101670
Philippines;92223
Finland;73044
Slovenia;68130
Colombia;51455
Australia;6077
Algeria;2773
Azerbaijan;2049
Ukraine;1490
