Country,ProducedVehicles,Percentage,CumulativePercentage,Rank
China,27020615,31.785648254776476,31.785648254776476,1.0
United States,10060339,11.834460347324061,43.62010860210054,2.0
Japan,7835519,9.217297638400085,52.83740624050062,3.0
India,5456857,6.419163189979754,59.256569430480376,4.0
South Korea,3757049,4.419597332997776,63.67616676347815,5.0
Germany,3677820,4.3263964519083675,68.00256321538652,6.0
Mexico,3509072,4.127890068108553,72.13045328349507,7.0
Brazil,2369769,2.7876731850505028,74.91812646854558,8.0
Spain,2219462,2.610859835974966,77.52898630452054,9.0
Thailand,1883515,2.2156692315328614,79.7446555360534,10.0
