Country;Produced Vehicles
Algeria;2773
Argentina;536893
Australia;6077
Austria;107500
Azerbaijan;2049
Bangladesh;
Belarus;
Belgium;276554
Brazil;2369769
Bulgaria;
Canada;1228735
Chile;
China;27,020,615
Colombia;51455
Czech Republic;1224456
Czechoslovakia;
East Germany;
Ecuador;
Egypt;
Finland;73044
France;1383173
Germany;3677820
Greece;
Hungary;441729
India;5456857
Indonesia;1470146
Iran;1064215
Ireland;
Italy;796324
Japan;7835519
Kazakhstan;112540
Kenya;
Malaysia;702225
Mexico;3509072
Morocco;464864
Myanmar;
Netherlands;101670
New Zealand;
Nigeria;
North Korea;
Note 2. Former countries;
Pakistan;235454
Peru;
Philippines;92223
Poland;483840
Portugal;322404
Romania;509465
Russia;608060
Serbia;
Slovakia;1000000
Slovenia;68130
South Africa;555889
South Korea;3757049
Soviet Union;
Spain;2219462
Sweden;238955
Taiwan;261263
Thailand;1883515
Tunisia;
Turkey;1352648
Ukraine;1490
United Kingdom;876,614
United States;10060339
Uruguay;
Uzbekistan;333569
Venezuela;
Vietnam;232410
Yugoslavia;
Zimbabwe;
