conditionID,participantID,sequenceNumber,taskName,environmentName,status,speedRequirementsImplemented,speedTaskTimeStart,speedTaskTimeEnd,qualityCorrectlyImplementedRequirements,QualityMaintainabilityIndex,activityCharacterOutput,communicationBrowserNewSnippets,communicationBrowserSnippetSize,communicationBrowserCharacters,communicationAINewSnippets,communicationAISnippetSize,communicationAICharacters,satisfactionSimpleComplicated,satisfactionUglyAttractive,satisfactionPracticalImpractical,satisfactionStylishTacky,satisfactionPredictableUnpredictable,satisfactionCheapPremium,satisfactionUnimaginativeCreative,satisfactionGoodBad,satisfactionConfusingClearlyStructured,satisfactionDullCaptivating,questionPositive,questionNegative
1,1,1,PDF,control,finished,6,16.05.2023 14:33:25,16.05.2023 14:49:19,6,68.89,229,1,11,11,0,0,0,5,3,5,5,3,3,3,5,2,3,,
2,1,2,TXT,autocomplete,finished,7,16.05.2023 14:56:40,16.05.2023 15:12:59,7,68.24,1326,0,0,0,15,55.2,828,7,7,7,7,1,6,6,7,5,6,"By suggesting to use functions I did not even know they existed, by structuring in an straighforward way my thoughts into code. Some of the suggestions looked so simple that I did not even think they work, but when trying them they did the job.","Sometimes when I did not know if the suggested function was correct or not, I spent more time trying to find an alternative suggestion that includes code or funtions that im more familiarized with. The uncertainty of knowing whether the code is actually reflecting my prompt or not made me spend more time checking the code, and all the alternatives."
3,1,3,CSV,conversational,finished,6,16.05.2023 15:24:13,16.05.2023 15:39:43,3,86.35,285,0,0,0,6,45.33333333,272,5,6,3,4,6,6,4,7,3,2,"It help me understand the next steps I should follow. It showed me which functions to use in specific situations, I find it also useful for debugging ","Sometimes I dont want an explanation of every single line, I got a bit anxious when the system started typing line by line instead of giving me the answer. Also, after providing the snippet it just continued responding things I did not ask"
4,2,1,CSV,autocomplete,finished,9,23.05.2023 16:13:11,23.05.2023 16:28:50,8,81.95,1180,1,23,23,13,38.76923077,504,5,5,6,5,3,5,3,6,6,5,"Normally I use Co-Pilot with a mix of Intellisense which helps with autocomplete dropdown menus, here with the lack of intellisense I missed the exact name of a function and needed to google it","Not so much, only what mentioned above. Was accustomed to another way."
5,2,2,PDF,conversational,finished,6,23.05.2023 16:36:01,23.05.2023 16:51:18,1,66.82,380,2,37.5,75,1,35,35,2,3,3,3,3,5,5,3,3,4,It didn't.,"I often had to type things twice and it worked the same as if I googled something as I still have to adapt the code to my specific needs. I didn't get an autocomplete which meant things like variable names which are trivial here I had to fully type.
Even though I spent 1 minute writing prompts attempting to stop the overload of reply info, it still gave me too much and I had to read a lot to find the specific answer to my question."
6,2,3,TXT,control,finished,7,23.05.2023 16:55:52,23.05.2023 17:11:01,7,67.02,677,5,48.8,244,0,0,0,5,5,5,4,7,3,4,5,6,4,"No real improvement, just that I didn't have the distraction of the Chatbot where I thought I would get the answer; intellisense also helps as mentioned early, when searching for a specific method.
",It didn't.
7,3,1,CSV,conversational,finished,,23.05.2023 18:40:28,23.05.2023 18:56:12,,,,,,,,,,7,5,7,5,7,3,2,7,6,6,Auto completion option,"- loading time
- did not noticed that the AI answered my question because I had to scroll down to the answer manually"
8,3,2,TXT,control,finished,,23.05.2023 19:02:37,23.05.2023 19:17:41,,,,,,,,,,4,4,3,3,5,4,3,3,6,2,doesn't,IDE is a stupid tool as itself. More a tool for my knowledge and skills.
9,3,3,PDF,autocomplete,finished,,23.05.2023 19:24:57,23.05.2023 19:40:08,,,,,,,,,,6,7,7,5,3,5,6,7,3,5,in the flow going through the code,understanding how it works at the first
10,4,1,PDF,conversational,finished,7,24.05.2023 14:39:11,24.05.2023 14:54:22,3,74.83,479,0,0,0,4,118.5,474,6,6,7,5,4,5,5,6,6,7,had no clue about the imported modules and pdf creation at all - so with the help of the Genien - Assient I was able to start working on the code imediately. So I would say it was a great boost to productivity and awesome to get some explanations without screening modules documentations.,I think I tended to put in less efforts to understand the code by myself but of course I was also influenced by time pressure
