startSurveyID,participantID,dataPrivacy,acceptParticipation,age,gender,education,occupation,occupationText,programmingExperience,pythonExperience,PDFTaskExperience,CSVTaskExperience,TXTTaskExperience,VSCodeExperience,CopilotExperience,ChatGPTExperience,controlSpeed,controlQuality,controlActivity,controlCommunication,controlStatisfaction,controlIDESupport,controlIDEUnderstanding,autocompleteSpeed,autocompleteQuality,autocompleteActivity,autocompleteCommunication,autocompleteStatisfaction,autocompleteIDESupport,autocompleteIDEUnderstanding,conversationalSpeed,conversationalQuality,conversationalActivity,conversationalCommunication,conversationalStatisfaction,conversationalIDESupport,conversationalIDEUnderstanding,questionEndingComment,
1,1,yes,yes,30,Male,Master's degree,, ,70,0,0,19,13,9,0,0,0,0,72,0,41,57,18,100,24,81,66,100,100,71,77,70,37,98,64,100,100,,
2,2,yes,yes,25,Male,Bachelor's degree,,,75,68,32,68,66,91,92,72,63,64,63,57,78,31,28,85,42,77,61,84,69,41,36,43,42,56,13,36,68,,
3,3,yes,yes,25,Male,Master's degree,,,10,6,92,7,50,93,0,0,5,0,7,0,10,15,0,91,83,100,100,100,100,58,76,77,32,100,84,91,79,,
4,4,yes,yes,25,Male,Bachelor's degree,,,30,16,10,21,12,3,0,11,10,9,25,0,14,0,0,28,28,62,84,100,74,69,72,62,64,100,100,92,84,,
5,5,yes,yes,25,Male,Bachelor's degree,,,75,17,39,56,76,89,78,67,0,31,16,5,0,29,0,60,78,76,100,80,95,100,100,78,100,69,100,100,40,,
6,6,yes,yes,25,Male,Bachelor's degree,,,50,16,6,36,52,81,0,36,38,40,86,29,39,43,0,100,64,26,83,100,100,78,7,66,97,59,39,55,64,,
7,7,yes,yes,24,Male,Bachelor's degree,,,80,37,46,62,66,19,6,42,31,45,41,29,36,55,6,82,72,67,49,78,76,71,58,56,42,44,83,70,99,,
8,8,yes,yes,25,Male,Bachelor's degree,,,73,23,19,15,73,6,11,46,0,51,95,0,25,0,0,61,59,79,58,62,65,56,92,89,44,100,92,92,93,,
9,9,yes,yes,30,Male,Master's degree,,,70,62,80,100,81,100,64,100,30,68,67,30,14,15,14,100,95,100,100,100,100,95,87,100,100,100,100,100,100,,
10,10,yes,yes,35,Male,Master's degree,,,97,74,17,92,79,27,51,78,59,63,60,61,72,68,64,78,69,84,69,81,79,77,97,70,93,95,99,96,75,,
11,11,yes,yes,24,Female,Bachelor's degree,,,15,19,19,24,22,54,0,29,4,17,0,9,45,13,13,96,95,88,100,92,100,72,95,92,100,94,85,100,100,,
12,12,yes,yes,25,Male,Bachelor's degree,,,75,74,41,83,70,86,0,5,30,71,32,34,64,67,34,69,77,75,73,31,66,29,76,63,81,81,75,77,81,,
13,13,yes,yes,22,Male,High school degree,,,78,59,42,41,71,71,0,27,71,69,28,71,70,70,71,74,32,34,34,74,75,18,29,55,33,89,79,77,74,,
14,14,yes,yes,36,Male,Bachelor's degree,,,73,69,65,62,71,76,98,79,36,36,35,13,8,31,0,100,100,100,94,100,100,100,85,100,100,100,90,100,100,,
15,15,yes,yes,21,Male,High school degree,,,36,45,6,26,39,62,50,82,100,100,86,69,100,100,62,100,74,100,55,100,100,58,71,59,80,68,68,66,71,,
16,16,yes,yes,22,Male,High school degree,,,52,70,29,50,55,55,54,74,26,43,31,26,27,37,32,76,94,81,33,58,72,66,88,79,86,44,77,64,62,,
17,17,yes,yes,23,Male,High school degree,,,35,37,50,50,50,40,35,50,17,14,11,13,49,50,50,30,50,50,50,50,26,26,82,86,50,74,70,76,79,,
18,18,yes,yes,28,Male,Bachelor's degree,,,22,15,55,0,33,41,0,28,36,26,46,28,50,12,0,100,57,74,30,66,78,32,60,87,60,93,92,80,86,,
19,19,yes,yes,23,Male,Bachelor's degree,,,77,80,30,80,70,56,37,88,65,76,65,44,61,43,45,84,70,82,74,88,85,15,100,94,94,94,100,35,100,,
20,20,yes,yes,25,Male,Bachelor's degree,,,78,78,0,86,91,92,0,91,0,86,0,0,79,60,86,75,100,73,87,100,100,69,100,100,100,100,0,100,0,,
21,21,yes,yes,31,Female,Bachelor's degree,,,31,26,0,19,23,0,32,100,0,0,0,0,0,0,0,92,100,100,48,62,63,0,83,100,82,100,100,100,100,,
22,22,yes,yes,29,Male,Master's degree,,,80,67,19,65,41,41,0,0,39,72,40,33,70,57,56,26,83,40,26,42,69,41,93,92,94,90,100,98,18,,
23,23,yes,yes,28,Male,Master's degree,,,74,83,40,97,58,73,0,67,61,71,37,77,65,51,79,100,65,40,65,79,69,41,79,31,69,60,78,54,24,,
24,24,yes,yes,25,Male,Bachelor's degree,,,62,89,89,88,89,69,100,100,0,8,79,0,0,8,0,88,96,41,94,92,96,53,100,100,37,99,98,99,86,,
25,25,yes,yes,33,Male,Bachelor's degree,,,45,70,18,37,55,91,75,10,0,1,6,9,0,0,3,100,100,100,100,100,100,96,51,50,50,50,51,50,47,,
26,26,yes,yes,27,Male,Bachelor's degree,,,60,64,24,61,60,56,60,60,50,50,50,50,50,50,50,81,60,56,41,60,65,44,63,62,50,55,57,55,62,,
27,27,yes,yes,26,Female,Master's degree,,,80,35,52,50,71,74,0,65,31,40,50,22,33,24,10,85,72,45,92,89,86,65,72,65,46,67,70,73,83,,
28,28,yes,yes,25,Male,Bachelor's degree,,,93,95,13,83,85,100,89,92,6,9,0,76,70,67,26,97,39,63,80,81,83,76,37,35,72,14,29,67,89,,
29,29,yes,yes,32,Female,High school degree,,,42,55,15,58,86,83,38,84,30,32,6,45,55,41,0,81,64,60,37,62,39,11,100,100,95,100,99,61,100,,
